id,DeathdateTime,endTime,killedBy,level,positionX,positionY
-NuXn6xTbeDXwMiPxgGQ,2024-04-03 00:11:34,3.299999952316284,Nail,Level3,-5.1279778480529785,-2.793388605117798
-NuXnZ_v34PPeHjVDHt1,2024-04-03 00:13:32,17.119998931884766,Nail,Level3,0.6054481863975525,-3.3797967433929443
-NuXyZJpKvwACEt3VLLI,2024-04-03 01:01:34,5.299999713897705,Nail,Level3,-5.113644123077393,-3.754544973373413
-NuY61SIzgBxwR8ICl5b,2024-04-03 01:38:34,6.019999980926514,Ghost,Level1,-0.5392431020736694,-0.07576102763414383
-NuY7NA1Ain6EP7lTw5k,2024-04-03 01:44:26,20.15999984741211,Ghost,Level1,3.941134214401245,-1.5187848806381226
-NuY7SUqTAMTyqsEUkJy,2024-04-03 01:44:47,8.626562118530273,Ghost,Level1,-2.381248712539673,-1.3336008787155151
-NuY7UId1LVccxjvd2D6,2024-04-03 01:44:55,6.431230545043945,Ghost,Level1,-5.207988739013672,3.244558334350586
-NuYAgxUIx9LIJ19d7NC,2024-04-03 01:58:57,9.279999732971191,Ghost,Level1,2.7587199211120605,1.9952716827392578
-NuYBPSNsVTMJGUZ1IxU,2024-04-03 02:02:04,3.819310188293457,Nail,Level1,-3.933239221572876,-0.37034374475479126
-NuYCEQ0VfnEf44EOtJr,2024-04-03 02:05:40,3.4800000190734863,Ghost,Level1,0.44262611865997314,-1.668923020362854
-NuYCGJ7Epgfvh8ofU8Q,2024-04-03 02:05:48,5.449440002441406,Ghost,Level1,2.0493013858795166,-0.19062082469463348
-NuYCHqMQs8srEY42brN,2024-04-03 02:05:54,5.2675251960754395,Ghost,Level1,1.977891206741333,-0.09262457489967346
-NuYCTuOR7-VlzQU-WVq,2024-04-03 02:06:44,9.57789134979248,Nail,Level1,5.084451675415039,3.072880983352661
-NuYCV9Nu5HQdFh8CR7x,2024-04-03 02:06:49,3.760560989379883,Ghost,Level1,-0.9210021495819092,-2.491992712020874
-NuYDLR1KVSxrAGpK-CQ,2024-04-03 02:10:31,4.9604058265686035,Ghost,Level3,-1.7276633977890015,-1.258962631225586
-NuYDNjURSAOI68CbFHk,2024-04-03 02:10:41,7.782677173614502,Ghost,Level3,0.9525202512741089,-3.0221645832061768
-NuYDPmaM7plsVZhj-LG,2024-04-03 02:10:49,6.825465202331543,Ghost,Level3,2.197768211364746,-0.8720278143882751
-NuYDSlIE2yv4svyhvhf,2024-04-03 02:11:01,11.41385269165039,Ghost,Level3,2.3274943828582764,-0.9967921376228333
-NuYFBwevnq1KnuHAwK2,2024-04-03 02:18:37,5.86130428314209,Ghost,Level1,0.9764198064804077,1.1316496133804321
-Nu_OekNfGgF9DxCX1tQ,2024-04-03 12:19:12,22.454599380493164,Nail,Tutorial,3.9285640716552734,1.4829838275909424
-Nu_OlyEmRblPXiwFmMl,2024-04-03 12:19:42,7.441298961639404,Ghost,Level1,0.4098688066005707,-0.4324015974998474
-Nu_Ov8vZpWOpWuWSRaL,2024-04-03 12:20:20,3.4543981552124023,Ghost,Level2,-2.4739623069763184,-1.2953262329101562
-Nu_OxaT4AAECUTWDRWJ,2024-04-03 12:20:30,9.093097686767578,Ghost,Level2,-1.1457868814468384,2.242060661315918
-NuaOhB7jRbMr5msogT-,2024-04-03 16:59:00,31.97410011291504,Ghost,Level1,2.3797359466552734,1.5669411420822144
-NuaOl9z6v7mKjnwcRyD,2024-04-03 16:59:16,14.023098945617676,Ghost,Level1,3.9547295570373535,-3.9067392349243164
-NuaP5JWnsPDjd9Q68wR,2024-04-03 17:00:43,33.4568977355957,Ghost,Level2,3.181513547897339,-3.124999523162842
-NuaPAPdO4tu6KyRgpP2,2024-04-03 17:01:03,3.8441965579986572,Ghost,Level2,-4.145018100738525,0.08885970711708069
-NuaPLZhizJ64QsMu3Jt,2024-04-03 17:01:49,14.125295639038086,Ghost,Level3,4.432125091552734,-1.1689921617507935
-NuaPRfwhSrf10xUdWi7,2024-04-03 17:02:14,9.238595008850098,Ghost,Level3,0.711254358291626,-3.9130215644836426
-NuaPSotu_8fOg5JkQWU,2024-04-03 17:02:19,3.5817947387695312,Ghost,Level3,-1.444870948791504,-4.181005954742432
-NuaPZT0kowIwVk-1qli,2024-04-03 17:02:46,25.527894973754883,Nail,Level3,1.4717280864715576,-3.436122417449951
-NuaPd5J3jKPpuJjV0RU,2024-04-03 17:03:05,17.74769401550293,Ghost,Level3,1.3713853359222412,0.4787193238735199
-Nua_-HUurtZxieH8-0Q,2024-04-03 17:48:21,11.342299461364746,Ghost,Level1,2.7450647354125977,3.8504061698913574
-Nua_95KV28rJf8vI-TI,2024-04-03 17:47:59,12.049899101257324,Ghost,Level2,1.6248313188552856,0.3510568141937256
-Nua_AyFf39TEanxd6oL,2024-04-03 17:48:07,4.203599452972412,Ghost,Level2,-2.62725567817688,3.2769970893859863
-Nua_DX7Yd0svZB4EL7t,2024-04-03 17:48:17,9.050199508666992,Ghost,Level2,1.9526102542877197,-1.9657905101776123
-Nua_EEJ-0Fmg7mTCj9X,2024-04-03 17:49:23,4.035299301147461,Ghost,Level1,-2.2799999713897705,-3.5731446743011475
-Nua_M7_PCM5fotBflVU,2024-04-03 17:48:53,1.7868983745574951,Nail,Level3,-1.546815276145935,1.6957052946090698
-Nua_M7a5m0x4nrQ8PxK,2024-04-03 17:48:53,1.7868983745574951,Nail,Level3,-1.546815276145935,1.6957052946090698
